control_id,title,page,chapter,profile_scope,level,automated,status_impl,status_tested,status_validated,notes
1.6.4,Ensure access to /etc/motd is configured (Automated),216,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.6.5,Ensure access to /etc/issue is configured (Automated),218,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.6.6,Ensure access to /etc/issue.net is configured (Automated),220,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.7.1,Ensure GDM is removed (Automated),223,1,Server:Level 2,Level 2,Automated,OK,OK,,
1.7.2,Ensure GDM login banner is configured (Automated),225,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.7.3,Ensure GDM disable-user-list option is enabled (Automated),228,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.7.4,Ensure GDM screen locks when the user is idle (Automated),231,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.7.5,Ensure GDM screen locks cannot be overridden (Automated),234,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.7.6,Ensure GDM automatic mounting of removable media is disabled (Automated),237,1,Server:Level 1;Workstation:Level 2,Level 1,Automated,OK,OK,,
1.7.7,Ensure GDM disabling automatic mounting of removable media is not overridden (Automated),240,1,Server:Level 1;Workstation:Level 2,Level 1,Automated,OK,OK,,
1.7.8,Ensure GDM autorun-never is enabled (Automated),243,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.7.9,Ensure GDM autorun-never is not overridden (Automated),246,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.7.10,Ensure XDMCP is not enabled (Automated),249,1,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
1.7.11,Ensure Xwayland is configured (Automated),252,1,Server:Level 2;Workstation:Level 2,Level 2,Automated,OK,OK,,
2.1.1,Ensure autofs services are not in use (Automated),255,2,Server:Level 1;Workstation:Level 2,Level 1,Automated,OK,OK,,
2.1.2,Ensure avahi daemon services are not in use (Automated),258,2,Server:Level 1;Workstation:Level 2,Level 1,Automated,OK,OK,,
2.1.3,Ensure dhcp server services are not in use (Automated),261,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.4,Ensure dns server services are not in use (Automated),263,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.5,Ensure dnsmasq services are not in use (Automated),265,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.6,Ensure ftp server services are not in use (Automated),267,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.7,Ensure ldap server services are not in use (Automated),269,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.8,Ensure message access server services are not in use (Automated),271,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.9,Ensure network file system services are not in use (Automated),274,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.10,Ensure nis server services are not in use (Automated),276,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.11,Ensure print server services are not in use (Automated),278,2,Server:Level 1;Workstation:Level 2,Level 1,Automated,OK,OK,,
2.1.12,Ensure rpcbind services are not in use (Automated),280,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.13,Ensure rsync services are not in use (Automated),283,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.14,Ensure samba file server services are not in use (Automated),285,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.15,Ensure snmp services are not in use (Automated),287,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.16,Ensure telnet-server services are not in use (Automated),290,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.17,Ensure tftp server services are not in use (Automated),292,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.18,Ensure web proxy server services are not in use (Automated),294,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.19,Ensure web server services are not in use (Automated),296,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.20,Ensure xinetd services are not in use (Automated),299,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.21,Ensure X window server services are not in use (Automated),302,2,Server:Level 2,Level 2,Automated,OK,OK,,
2.1.22,Ensure mail transfer agents are configured for local-only mode (Automated),304,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.1.23,Ensure only approved services are listening on a network interface (Manual),307,2,Server:Level 1;Workstation:Level 1,Level 1,Manual,OK,OK,,
2.2.1,Ensure nis client is not installed (Automated),310,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.2.2,Ensure rsh client is not installed (Automated),312,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.2.3,Ensure talk client is not installed (Automated),314,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.2.4,Ensure telnet client is not installed (Automated),316,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.2.5,Ensure ldap client is not installed (Automated),318,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.2.6,Ensure ftp client is not installed (Automated),320,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
2.3.1.1,Ensure a single time synchronization daemon is in use (Automated),324,2,Server:Level 1;Workstation:Level 1,Level 1,Automated,OK,OK,,
