"ControlId","Title","Status","ExpectedValue","ActualValue","Notes","Hostname","Timestamp"
"18.7.11","Ensure 'Manage processing of Queue-specific files' is set to 'Enabled: Limit Queue- specific files to Color profiles'","ManualReviewRequired","","","No se identifico con certeza la clave de registro para este control. Verificar manualmente antes de automatizar.","DC01","2026-07-14T10:54:35.2328212-07:00"
"18.7.12","Ensure 'Point and Print Restrictions: When installing drivers for a new connection' is set to 'Enabled: Show warning and elevation prompt'","Fail","0 (Show warning and elevation prompt)","","","DC01","2026-07-14T10:54:35.2408760-07:00"
"18.7.13","Ensure 'Point and Print Restrictions: When updating drivers for an existing connection' is set to 'Enabled: Show warning and elevation prompt'","Fail","0 (Show warning and elevation prompt)","","","DC01","2026-07-14T10:54:35.2494156-07:00"
"18.7.14","Ensure 'Require IPPS for IPP printers' is set to 'Enabled'","ManualReviewRequired","","","Funcionalidad nueva de impresion IPP sobre TLS (Server 2025); no se confirmo la clave de registro con certeza.","DC01","2026-07-14T10:54:35.2507264-07:00"
"18.7.15","Ensure 'Set TLS/SSL security policy for IPP printers: Disallow invalid certificate authority' is set to 'Enabled: Checked'","ManualReviewRequired","","","Funcionalidad nueva de impresion IPP sobre TLS (Server 2025); no se confirmo la clave de registro con certeza.","DC01","2026-07-14T10:54:35.2534334-07:00"
"18.7.16","Ensure 'Set TLS/SSL security policy for IPP printers: Disallow non-server certificates' is set to 'Enabled: Checked'","ManualReviewRequired","","","Funcionalidad nueva de impresion IPP sobre TLS (Server 2025); no se confirmo la clave de registro con certeza.","DC01","2026-07-14T10:54:35.2558123-07:00"
"18.7.17","Ensure 'Set TLS/SSL security policy for IPP printers: Disallow invalid certificate common name' is set to 'Enabled: Checked'","ManualReviewRequired","","","Funcionalidad nueva de impresion IPP sobre TLS (Server 2025); no se confirmo la clave de registro con certeza.","DC01","2026-07-14T10:54:35.2568736-07:00"
"18.7.18","Ensure 'Set TLS/SSL security policy for IPP printers: Disallow invalid certificate date' is set to 'Enabled: Checked'","ManualReviewRequired","","","Funcionalidad nueva de impresion IPP sobre TLS (Server 2025); no se confirmo la clave de registro con certeza.","DC01","2026-07-14T10:54:35.2594921-07:00"
"18.8.1.1","Ensure 'Turn off notifications network usage' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.2649618-07:00"
"18.9.3.1","Ensure 'Include command line in process creation events' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.2687900-07:00"
"18.9.4.1","Ensure 'Encryption Oracle Remediation' is set to 'Enabled: Force Updated Clients'","Fail","0 (Force Updated Clients)","","","DC01","2026-07-14T10:54:35.2784728-07:00"
"18.9.4.2","Ensure 'Remote host allows delegation of non-exportable credentials' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.2874714-07:00"
"18.9.5.1","Ensure 'Turn On Virtualization Based Security' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.2934522-07:00"
"18.9.5.2","Ensure 'Turn On Virtualization Based Security: Select Platform Security Level' is set to 'Secure Boot' or higher","Fail",">= 1 (Secure Boot)","","","DC01","2026-07-14T10:54:35.3004830-07:00"
"18.9.5.3","Ensure 'Turn On Virtualization Based Security: Virtualization Based Protection of Code Integrity' is set to 'Enabled with UEFI lock'","Fail","2 (Enabled with UEFI lock)","","","DC01","2026-07-14T10:54:35.3062917-07:00"
"18.9.5.4","Ensure 'Turn On Virtualization Based Security: Require UEFI Memory Attributes Table' is set to 'True (checked)'","Fail","1 (True)","","","DC01","2026-07-14T10:54:35.3113213-07:00"
"18.9.5.5","Ensure 'Turn On Virtualization Based Security: Credential Guard Configuration' is set to 'Enabled with UEFI lock' (MS Only)","NotApplicable","","","Control marcado (MS only) en el benchmark; este equipo no es MS.","DC01","2026-07-14T10:54:35.3568473-07:00"
"18.9.5.6","Ensure 'Turn On Virtualization Based Security: Credential Guard Configuration' is set to 'Disabled' (DC Only)","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:35.4087306-07:00"
"18.9.5.7","Ensure 'Turn On Virtualization Based Security: Secure Launch Configuration' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.4161171-07:00"
"18.9.7.2","Ensure 'Prevent automatic download of applications associated with device metadata' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.4222557-07:00"
"18.9.13.1","Ensure 'Boot-Start Driver Initialization Policy' is set to 'Enabled: Good, unknown and bad but critical'","Fail","3","","","DC01","2026-07-14T10:54:35.4283341-07:00"
"18.9.17.1","Ensure 'Enable / disable CLFS logfile authentication' is set to 'Enabled'","ManualReviewRequired","","","Control nuevo; no se identifico con certeza la clave de registro. Verificar manualmente antes de automatizar.","DC01","2026-07-14T10:54:35.4312992-07:00"
"18.9.19.2","Ensure 'Configure security policy processing: Do not apply during periodic background processing' is set to 'Enabled: FALSE'","Fail","0 (FALSE)","","","DC01","2026-07-14T10:54:35.4406731-07:00"
"18.9.19.3","Ensure 'Configure security policy processing: Process even if the Group Policy objects have not changed' is set to 'Enabled: TRUE'","Fail","0 (TRUE, procesa siempre)","","","DC01","2026-07-14T10:54:35.4482962-07:00"
"18.9.19.4","Ensure 'Continue experiences on this device' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:35.4512944-07:00"
"18.9.19.5","Ensure 'Turn off background refresh of Group Policy' is set to 'Disabled'","Fail","0 (Disabled)","","","DC01","2026-07-14T10:54:35.4542951-07:00"
"18.9.20.1.1","Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.4594195-07:00"
"18.9.20.1.2","Ensure 'Turn off handwriting personalization data sharing' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.4661120-07:00"
"18.9.20.1.3","Ensure 'Turn off handwriting recognition error reporting' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.4718027-07:00"
"18.9.20.1.4","Ensure 'Turn off Internet Connection Wizard if URL connection is referring to Microsoft.com' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.4771743-07:00"
"18.9.20.1.5","Ensure 'Turn off Internet download for Web publishing and online ordering wizards' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.4802177-07:00"
"18.9.20.1.6","Ensure 'Turn off printing over HTTP' is set to 'Enabled'","Fail","1 (Enabled)","","","DC01","2026-07-14T10:54:35.4898093-07:00"
